@relation 'crystal maiden'

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1,0}

@data
13,7,10,402,603,0
8,12,27,317,459,1
8,12,27,317,459,1
4,13,27,374,367,1
4,13,27,374,367,1
1,14,8,207,271,0
1,14,8,207,271,0
8,17,19,429,465,1
8,17,19,429,465,1
3,6,17,387,385,1
3,6,17,387,385,1
4,6,5,328,340,1
4,6,5,328,340,1
5,12,14,376,437,0
5,12,14,376,437,0
1,12,12,220,250,0
1,12,12,220,250,0
2,8,2,212,249,0
2,8,2,212,249,0
2,13,6,186,197,0
2,13,6,186,197,0
4,8,12,290,390,0
4,8,12,290,390,0
1,10,4,231,248,0
1,10,4,231,248,0
2,9,8,335,344,0
2,9,8,335,344,0
6,7,22,349,374,1
6,7,22,349,374,1
6,15,8,311,228,1
6,15,8,311,228,1
8,3,25,357,538,0
8,3,25,357,538,0
8,5,20,446,513,1
8,5,20,446,513,1
5,10,13,314,340,0
5,10,13,314,340,0
4,4,13,334,336,1
4,4,13,334,336,1
1,10,16,269,320,1
1,10,16,269,320,1
8,11,7,265,373,0
8,11,7,265,373,0
3,13,15,258,280,0
3,13,15,258,280,0
2,6,10,326,315,1
2,6,10,326,315,1
